Name,Subject,PS,Year,WS,URL,,,,
A73,MS&E,Beijing Institute of Technology,2003,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglgcx/b124761.htm,,,,
A74,MS&E,Beijing Institute of Technology,2005,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b126443.htm,,,,
A75,MS&E,Beijing Institute of Technology,2008,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b129260.htm,,,,
A76,MS&E,Beijing Institute of Technology,2004,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b126434.htm,,,,
A77,MS&E,Beijing Institute of Technology,2006,Northeastern University,http://sba.neu.edu.cn/2019/1026/c5182a148958/page.htm,,,,
A78,BA,Beijing Institute of Technology,2015,Beijing Foreign Studies University,https://ibs.bfsu.edu.cn/teacher.aspx?m=20140924134241013079&t_id=20150403151407183383,,,,
A79,BA,Beijing Institute of Technology,2020,South China Agricultural University,https://cem.scau.edu.cn/2021/0406/c5617a273281/page.htm,,,,
A80,BA,Beijing Institute of Technology,2020,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1155/6821.htm,,,,
A81,BA,Beijing Institute of Technology,2019,Hainan University,https://hd.hainanu.edu.cn/guanli/info/1077/1355.htm,,,,
A82,BA,Beijing Institute of Technology,2006,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/szm/qb/gmxh/index.htm,,,,
A83,BA,Beijing Institute of Technology,2019,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/szm/qb/hwjy/index.htm,,,,
A84,BA,Beijing Institute of Technology,2007,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/szm/qb/hxxh/index.htm,,,,
A85,BA,Beijing Institute of Technology,2020,Qingdao University of Technology,http://glxy.qut.edu.cn/info/1010/4083.htm,,,,
